DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
10542.0,27.431351,77.327804,R,RAJASTHAN,Bharatpur
10543.0,27.32582,77.292316,R,RAJASTHAN,Bharatpur
10544.0,26.91843,77.045031,R,RAJASTHAN,Bharatpur
10545.0,27.580757,77.229378,R,RAJASTHAN,Bharatpur
10601.0,26.698953,77.902968,U,RAJASTHAN,Dhaulpur
10602.0,26.738559,77.503382,R,RAJASTHAN,Dhaulpur
10603.0,26.774976,77.708322,R,RAJASTHAN,Dhaulpur
10604.0,26.700873,77.904626,U,RAJASTHAN,Dhaulpur
10605.0,26.899115,78.190908,R,RAJASTHAN,Dhaulpur
10606.0,26.626138,77.876932,R,RAJASTHAN,Dhaulpur
10607.0,26.633245,77.481856,R,RAJASTHAN,Dhaulpur
10608.0,26.622527,77.423886,R,RAJASTHAN,Dhaulpur
10609.0,26.694799,77.812814,R,RAJASTHAN,Dhaulpur
10610.0,26.820721,77.979894,R,RAJASTHAN,Dhaulpur
10611.0,26.821247,78.016745,R,RAJASTHAN,Dhaulpur
10612.0,26.888446,77.912547,R,RAJASTHAN,Dhaulpur
10613.0,26.775887,77.590959,R,RAJASTHAN,Dhaulpur
10614.0,26.680965,77.652073,R,RAJASTHAN,Dhaulpur
10615.0,26.886748,77.793142,R,RAJASTHAN,Dhaulpur
10616.0,26.7034,77.885092,U,RAJASTHAN,Dhaulpur
10617.0,26.77765,77.928351,R,RAJASTHAN,Dhaulpur
10618.0,26.842122,77.829337,R,RAJASTHAN,Dhaulpur
10619.0,26.806516,77.945607,R,RAJASTHAN,Dhaulpur
10620.0,26.740413,77.536876,R,RAJASTHAN,Dhaulpur
10621.0,26.651395,77.633088,U,RAJASTHAN,Dhaulpur
10622.0,26.574675,77.384393,R,RAJASTHAN,Dhaulpur
10623.0,26.913142,77.749935,R,RAJASTHAN,Dhaulpur
10624.0,26.737128,77.802064,R,RAJASTHAN,Dhaulpur
10625.0,26.797192,78.044462,R,RAJASTHAN,Dhaulpur
10626.0,26.680413,77.897466,U,RAJASTHAN,Dhaulpur
10627.0,26.396374,77.419314,R,RAJASTHAN,Dhaulpur
10628.0,26.901158,78.163782,U,RAJASTHAN,Dhaulpur
10629.0,26.748597,77.568861,R,RAJASTHAN,Dhaulpur
10630.0,26.796345,77.701941,R,RAJASTHAN,Dhaulpur
10631.0,26.873918,78.040834,R,RAJASTHAN,Dhaulpur
10632.0,26.715623,77.908059,R,RAJASTHAN,Dhaulpur
10633.0,26.800025,77.622478,R,RAJASTHAN,Dhaulpur
10634.0,26.754376,78.089601,R,RAJASTHAN,Dhaulpur
10635.0,26.63282,77.600077,R,RAJASTHAN,Dhaulpur
10636.0,26.684517,77.890036,U,RAJASTHAN,Dhaulpur
10637.0,26.746711,77.898022,U,RAJASTHAN,Dhaulpur
10638.0,26.698621,77.872607,U,RAJASTHAN,Dhaulpur
10639.0,26.566079,77.787233,R,RAJASTHAN,Dhaulpur
10640.0,26.788772,77.583118,R,RAJASTHAN,Dhaulpur
10641.0,26.769762,77.622291,R,RAJASTHAN,Dhaulpur
10642.0,26.899705,77.736009,R,RAJASTHAN,Dhaulpur
10643.0,26.763798,77.5807,R,RAJASTHAN,Dhaulpur
10644.0,26.715064,77.578702,R,RAJASTHAN,Dhaulpur
10645.0,26.806855,77.666966,R,RAJASTHAN,Dhaulpur
10701.0,26.484812,77.013894,U,RAJASTHAN,Karauli
10702.0,26.727877,76.67503,R,RAJASTHAN,Karauli
10703.0,26.513648,77.133238,R,RAJASTHAN,Karauli
10704.0,26.910124,76.799499,U,RAJASTHAN,Karauli
10705.0,26.702379,76.989138,R,RAJASTHAN,Karauli
10706.0,26.423591,77.114826,R,RAJASTHAN,Karauli
10707.0,26.601474,77.350666,R,RAJASTHAN,Karauli
